target	sample	containment1	containment1_hits	containment10	containment10_hits	containment100	containment100_hits	target_length	target_kmers	median_nz_abundance	sample_seqs	sample_bases
AdV-1	zmrp21.viruses	1.00000	1539	0.00000	0	0.00000	0	35676	1539	1	16	313736
AdV-3	zmrp21.viruses	1.00000	1542	0.00000	0	0.00000	0	35072	1542	2	16	313736
AdV-31	zmrp21.viruses	1.00000	1470	0.00000	0	0.00000	0	33755	1470	1	16	313736
Flu-A-H1N1-NY	zmrp21.viruses	1.00000	572	0.00000	0	0.00000	0	13130	572	1	16	313736
Flu-A-H3N2	zmrp21.viruses	1.00000	579	0.00000	0	0.00000	0	13290	579	1	16	313736
Flu-A-H1N1-NC	zmrp21.viruses	1.00000	575	0.00000	0	0.00000	0	13292	575	1	16	313736
Flu-B	zmrp21.viruses	1.00000	617	0.00000	0	0.00000	0	14222	617	1	16	313736
HMPV	zmrp21.viruses	1.00000	566	0.00000	0	0.00000	0	13149	566	1	16	313736
HPIV-1	zmrp21.viruses	1.00000	679	0.00000	0	0.00000	0	15412	679	1	16	313736
HPIV-2	zmrp21.viruses	1.00000	671	0.00000	0	0.00000	0	15654	671	1	16	313736
HPIV-3	zmrp21.viruses	1.00000	671	0.00000	0	0.00000	0	15382	671	1	16	313736
HPIV-4	zmrp21.viruses	1.00000	735	0.00000	0	0.00000	0	17132	735	1	16	313736
HRV-1A	zmrp21.viruses	1.00000	314	0.00000	0	0.00000	0	7096	314	1	16	313736
RSV-A	zmrp21.viruses	1.00000	642	0.00000	0	0.00000	0	14855	642	1	16	313736
SARS-CoV-2	zmrp21.viruses	1.00000	1316	0.00000	0	0.00000	0	29778	1316	1	16	313736
HCoV-229E	zmrp21.viruses	1.00000	1163	0.00000	0	0.00000	0	26841	1163	1	16	313736
TOTAL	zmrp21.viruses	1.00000	13651	0.00000	0	0.00000	0	0	13651	1	16	313736
SARS-CoV-2	rsviruses17900	0.96733	1273	0.22416	295	0.00000	0	29778	1316	8	2735041	5380463201
HRV-1A	rsviruses17900	0.95860	301	0.12739	40	0.00000	0	7096	314	7	2735041	5380463201
HCoV-229E	rsviruses17900	0.91488	1064	0.31728	369	0.00000	0	26841	1163	8	2735041	5380463201
HPIV-2	rsviruses17900	0.91356	613	0.23994	161	0.00000	0	15654	671	8	2735041	5380463201
AdV-1	rsviruses17900	0.76283	1174	0.42040	647	0.00000	0	35676	1539	11	2735041	5380463201
AdV-3	rsviruses17900	0.73281	1130	0.48379	746	0.00000	0	35072	1542	12	2735041	5380463201
Flu-A-H1N1-NY	rsviruses17900	0.72902	417	0.08042	46	0.00000	0	13130	572	7	2735041	5380463201
HPIV-3	rsviruses17900	0.63338	425	0.35320	237	0.00000	0	15382	671	10	2735041	5380463201
RSV-A	rsviruses17900	0.50000	321	0.25078	161	0.00000	0	14855	642	10	2735041	5380463201
Flu-A-H3N2	rsviruses17900	0.42314	245	0.08117	47	0.00000	0	13290	579	7	2735041	5380463201
AdV-31	rsviruses17900	0.41905	616	0.34218	503	0.00000	0	33755	1470	15	2735041	5380463201
HPIV-1	rsviruses17900	0.39912	271	0.07658	52	0.00000	0	15412	679	7	2735041	5380463201
HPIV-4	rsviruses17900	0.26259	193	0.08027	59	0.00000	0	17132	735	7	2735041	5380463201
Flu-A-H1N1-NC	rsviruses17900	0.21043	121	0.06261	36	0.00000	0	13292	575	7	2735041	5380463201
Flu-B	rsviruses17900	0.07618	47	0.00486	3	0.00000	0	14222	617	7	2735041	5380463201
HMPV	rsviruses17900	0.00353	2	0.00177	1	0.00000	0	13149	566	9	2735041	5380463201
TOTAL	rsviruses17900	0.60164	8213	0.24921	3402	0.00000	0	0	13651	9	2735041	5380463201
AdV-1	rsviruses17900.1k	0.06758	104	0.00000	0	0.00000	0	35676	1539	1	1000	2029762
AdV-31	rsviruses17900.1k	0.04830	71	0.00136	2	0.00000	0	33755	1470	1	1000	2029762
AdV-3	rsviruses17900.1k	0.00065	1	0.00000	0	0.00000	0	35072	1542	2	1000	2029762
Flu-A-H1N1-NY	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	13130	572	0	1000	2029762
Flu-A-H3N2	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	13290	579	0	1000	2029762
Flu-A-H1N1-NC	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	13292	575	0	1000	2029762
Flu-B	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	14222	617	0	1000	2029762
HMPV	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	13149	566	0	1000	2029762
HPIV-1	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	15412	679	0	1000	2029762
HPIV-2	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	15654	671	0	1000	2029762
HPIV-3	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	15382	671	0	1000	2029762
HPIV-4	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	17132	735	0	1000	2029762
HRV-1A	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	7096	314	0	1000	2029762
RSV-A	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	14855	642	0	1000	2029762
SARS-CoV-2	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	29778	1316	0	1000	2029762
HCoV-229E	rsviruses17900.1k	0.00000	0	0.00000	0	0.00000	0	26841	1163	0	1000	2029762
TOTAL	rsviruses17900.1k	0.01289	176	0.00007	1	0.00000	0	0	13651	0	1000	2029762
